epoch,step,train_acc,train_loss,val_acc,val_loss
0,32,,,0.5538312196731567,0.6921974420547485
0,32,0.5031507611274719,0.6936555504798889,,
1,65,,,0.5383123159408569,0.6897600293159485
1,65,0.5201163291931152,0.691489577293396,,
2,98,,,0.5567409992218018,0.6867964267730713
2,98,0.5201163291931152,0.6894682049751282,,
3,131,,,0.5674102902412415,0.6851019859313965
3,131,0.5385361313819885,0.688159167766571,,
4,164,,,0.5548011660575867,0.6844871640205383
4,164,0.5555016994476318,0.6864902377128601,,
5,197,,,0.5431619882583618,0.6852275729179382
5,197,0.5482307076454163,0.6858305335044861,,
6,230,,,0.5431619882583618,0.6837559342384338
6,230,0.558410108089447,0.6847459673881531,,
7,263,,,0.5489815473556519,0.68418949842453
7,263,0.5618032217025757,0.6853545904159546,,
8,296,,,0.5383123159408569,0.6865601539611816
8,296,0.5642268657684326,0.6853129267692566,,
9,329,,,0.5557711124420166,0.6834512948989868
9,329,0.5574406385421753,0.6848770976066589,,
10,362,,,0.5528612732887268,0.6854929327964783
10,362,0.5603489875793457,0.6846068501472473,,
11,395,,,0.5615906715393066,0.6820710897445679
11,395,0.5579253435134888,0.6842696070671082,,
12,428,,,0.5596508383750916,0.6842664480209351
12,428,0.556955873966217,0.6858096718788147,,
13,461,,,0.5548011660575867,0.6829020380973816
13,461,0.5579253435134888,0.6842583417892456,,
14,494,,,0.5722599625587463,0.6822938323020935
14,494,0.5564711689949036,0.6837206482887268,,
15,527,,,0.5538312196731567,0.6843616962432861
15,527,0.5559864044189453,0.6851654648780823,,
16,560,,,0.5722599625587463,0.6828417778015137
16,560,0.5559864044189453,0.68413245677948,,
17,593,,,0.5538312196731567,0.6835319995880127
17,593,0.5574406385421753,0.6846316456794739,,
18,626,,,0.5848690867424011,0.6827799677848816
18,626,0.559379518032074,0.6844004392623901,,
19,659,,,0.5451018214225769,0.6861984133720398
19,659,0.5613184571266174,0.685204267501831,,
20,692,,,0.5693501234054565,0.6834537386894226
20,692,0.560833752155304,0.684249997138977,,
21,725,,,0.5470417141914368,0.6859763264656067
21,725,0.5656810402870178,0.6844905018806458,,
22,758,,,0.5800194144248962,0.683143675327301
22,758,0.5642268657684326,0.6847327351570129,,
23,791,,,0.533462643623352,0.6879317760467529
23,791,0.5647115707397461,0.6847692728042603,,
24,824,,,0.5693501234054565,0.6846936941146851
24,824,0.5744062066078186,0.6824647784233093,,
